Star_ID,RA_deg,Dec_deg,Apparent_Magnitude,Spectral_Type,Proper_Motion_RA,Proper_Motion_Dec,Radial_Velocity,Constellation,Catalog_Name,Distance_pc
HD 93810,134.8344427850505,-56.67607280904846,3.9255852560385893,M,71.99587828359279,-106.36447972255792,88954.17244669324,Cassiopeia,Messier 5771,2062.6194946880546
HD 24592,342.2571503075698,7.542170528104464,3.704681986079997,A,305.43232929998635,-26.56434062497857,-196568.1827369003,Cassiopeia,NGC 2294,2442.701434441351
HD 13278,263.51781905210584,67.1302504577535,13.59381870781555,G,260.160929790159,354.5473932021803,223436.73801288893,Lyra,Messier 8955,768.1687658746728
HD 46048,215.5170543109332,41.800479553721004,3.7431929977425913,O,-346.1000953062263,-159.9956139401079,67869.74344154488,Ursa Major,IC 3016,1915.98993180269
HD 42098,56.16671055927715,55.18100661506094,4.079245891929465,M,-350.75053025852606,369.64968481217136,-205677.66986582745,Cygnus,Messier 963,1753.1144867653343
HD 39256,56.158027321032954,28.58100600792912,11.390973936269456,M,-231.8256322550867,-411.8655690233085,277402.8344887241,Orion,Messier 555,2553.5237547388133
HD 28289,20.910100380551807,34.60978161321344,6.7460976367581,B,-138.9252736589628,276.79843720863073,11019.278001192375,Cassiopeia,NGC 795,2778.107567468366
HD 23434,311.82341247897665,62.85521728175746,11.650658354327717,F,-91.5444185915174,347.54763305473637,-256260.92887700698,Cygnus,NGC 6757,37.57574841560195
HD 98696,216.40140422755516,-45.05975840534653,0.9804923634657786,G,179.69721683334524,-318.18234716266124,76099.74264904036,Lyra,NGC 3792,2066.6568055374937
HD 81482,254.90612800657638,-1.903506544234716,7.313567905100765,K,-443.3195678341646,-69.65346762779956,-148080.65579231386,Cassiopeia,NGC 2475,159.22017543695978
HD 21395,7.410417946488881,-50.182300472471596,0.5042040027492395,F,-465.3272957739336,-334.5002253363444,182216.07112638146,Ursa Major,NGC 3584,1682.9485865991985
HD 87397,349.16754677831796,87.78024143939646,0.9397980518303178,A,-108.08943705609096,206.60412899421772,190693.2441397144,Cygnus,Messier 7472,882.1053905823405
HD 65302,299.6793506881518,79.93068114359039,13.596561800166164,B,197.16369213798043,35.34776806165678,287368.4135127971,Orion,IC 991,940.7949627239389
HD 14165,76.44207984417942,-82.90317395366894,2.0886805667639274,G,-306.5646570435174,135.32334670832097,1121.7186147022294,Lyra,Messier 7917,1082.3753283766398
HD 13905,65.45698819455622,37.00353105282392,7.986310234128257,F,141.50448125625167,-303.5130330437888,-27025.872163357737,Cygnus,Messier 7994,1905.0096266961368
HD 22280,66.02562354723618,76.54469713481984,6.166434039010598,K,-240.17186205970052,-288.2541379475805,152085.36326788837,Cassiopeia,NGC 109,1024.4072182397454
HD 38657,109.52720746543358,-57.49643787707996,5.21014989388264,M,386.0861088135164,-458.5026744900936,-220517.60619484406,Orion,Messier 9039,2246.550057902419
HD 40495,188.91231538760562,12.230141499473305,13.497500185309088,F,395.6899442666165,-177.9324648042703,28149.30827587453,Cassiopeia,IC 195,1240.470611717437
HD 76237,155.50020671116167,74.78789356584753,0.3273509516323425,O,-202.71279571867353,59.74466133367491,27748.56007851055,Cassiopeia,NGC 8674,209.857752087736
HD 88907,104.8424904712951,-83.88972385455621,9.956845292633837,F,-270.0062460367595,357.93491399732875,-246316.1263137677,Ursa Major,Messier 4502,2403.087683500714
HD 13478,220.2670421000566,35.53564810443119,14.450916513203257,A,-88.69602793376873,166.92744745868072,-49209.548695851845,Ursa Major,Messier 4698,876.3590084507007
HD 83563,50.21778983473506,-36.47717867294086,8.402522751927629,F,-259.4684148198513,-64.60367660024855,211970.87914032117,Cassiopeia,NGC 8229,1327.0447359892282
HD 36062,105.17207347267853,76.39131516777547,14.052336930496377,A,172.38384329170367,453.1201143941378,213692.17319679615,Lyra,Messier 7055,2101.67937684292
HD 95181,131.890263585729,84.79048412976618,0.7838681892903565,A,326.0646845482855,219.24520057583186,-240457.40104819142,Ursa Major,NGC 1754,1019.5210621083077
HD 81426,164.18519431813294,79.9679680404181,6.281899786112421,K,173.09213091121705,430.16520286255,-245567.47035130148,Ursa Major,NGC 8592,173.78186383540685
HD 64987,282.6633461014849,-4.641441001656517,3.9023668644307676,O,324.3504472493495,27.58797327216564,-142382.7137988388,Ursa Major,NGC 3949,1146.6404263852644
HD 38893,71.88256157700951,65.16767717807642,10.962314474710947,M,-103.00783779252589,-241.09572520686038,224859.63753239613,Ursa Major,NGC 8626,2895.7129037516834
HD 68878,185.1243978289002,62.01889173631267,14.7194563574587,B,-343.6830292911392,-447.173313635278,-222658.44895590062,Orion,IC 5808,1967.678729990644
HD 87236,213.26924479033528,-32.561914816213985,3.8479509366637172,A,237.95094739759213,226.08485148385046,131998.08157646772,Cassiopeia,IC 6503,2058.8675380871123
HD 46463,16.72214857919918,59.20478534712191,9.812619022111116,F,-139.5254948584461,-378.6970019944659,-239300.62823213806,Orion,NGC 6113,1938.700883694539
HD 10851,218.7161466845178,-83.33862575121132,2.9714644913961017,K,171.27082522913247,-197.22487172803284,73882.7122486952,Cygnus,IC 7521,610.3589685473848
HD 30926,61.38868452742495,17.328578126769543,8.479953818574149,F,-229.3560580182343,32.47090788389744,-86359.62052851313,Cygnus,Messier 3985,1282.797283250561
HD 65392,23.418573474700626,-48.59840928821345,6.958987300325043,A,-418.77036519332734,64.41658777974772,173348.37777952023,Cygnus,Messier 3701,2302.470916933866
HD 54597,341.59879341119995,-68.29796056008982,14.580079944473056,K,492.58179548776343,100.58319698713603,-159785.73070478183,Orion,IC 1321,311.08659740554776
